Question,Hardness,Gold,Without Description,With Description,EM Without,EX Without,EM With,EX With,SYM_DIFF_Without,SYM_DIFF_With
How many singers do we have?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1,1,1
What is the total number of singers?,easy,SELECT count(*) FROM singer,SELECT COUNT(singer_id) FROM singer,SELECT COUNT(*) AS total_singers FROM singer,0,1,0,1,1,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1,1,1
"What are the names, countries, and ages for every singer in descending order of age?",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1,1,1
"What is the average, minimum, and maximum age of all singers from France?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'",0,1,0,1,1,1
"What is the average, minimum, and maximum age for all French singers?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'French'",0,1,0,0,1,0
Show the name and the release year of the song by the youngest singer.,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer)","SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer)",0,1,0,1,1,1
What are the names and release years for all the songs of the youngest singer?,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer)","SELECT song_name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer)",0,1,0,1,1,1
What are all distinct countries where singers above age 20 are from?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,1,1,1,1,1,1
What are  the different countries with singers above age 20?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,1,1,1,1,1,1
Show all countries and the number of singers in each country.,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(singer_id) AS num_singers FROM singer GROUP BY country","SELECT country, COUNT(singer_id) AS num_singers FROM singer GROUP BY country",0,1,0,1,1,1
How many singers are from each country?,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(singer_id) AS num_singers FROM singer GROUP BY country","SELECT country, COUNT(singer_id) AS num_singers FROM singer GROUP BY country",0,1,0,1,1,1
List all song names by singers above the average age.,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.song_name FROM singer s WHERE s.age > (SELECT AVG(age) FROM singer),SELECT song_name FROM singer WHERE age > (SELECT AVG(age) FROM singer),0,1,1,1,1,1
What are all the song names by singers who are older than average?,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.song_name FROM singer AS s WHERE s.age > (SELECT AVG(age) FROM singer),SELECT s.song_name FROM singer s WHERE s.age > (SELECT AVG(age) FROM singer),1,1,0,1,1,1
Show location and name for all stadiums with a capacity between 5000 and 10000.,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1,1,1,1,1,1
What are the locations and names of all stations with capacity between 5000 and 10000?,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",1,1,1,1,1,1
What is the maximum capacity and the average of all stadiums ?,medium,"select max(capacity), average from stadium","SELECT MAX(capacity) AS max_capacity, AVG(capacity) AS average_capacity FROM stadium","SELECT MAX(capacity) AS maximum_capacity, AVG(capacity) AS average_capacity FROM stadium",0,0,0,0,0,0
What is the average and maximum capacities for all stadiums ?,medium,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS maximum_capacity FROM stadium","SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS maximum_capacity FROM stadium",0,1,0,1,1,1
What is the name and capacity for the stadium with highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium ORDER BY average DESC LIMIT 1",1,1,1,1,1,1
What is the name and capacity for the stadium with the highest average attendance?,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium)","SELECT name, capacity FROM stadium ORDER BY average DESC LIMIT 1",0,1,1,1,1,1
How many concerts are there in year 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(concert_id) FROM concert WHERE year IN (2014, 2015)","SELECT COUNT(concert_id) FROM concert WHERE year IN (2014, 2015)",0,1,0,1,1,1
How many concerts occurred in 2014 or 2015?,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)","SELECT COUNT(concert_id) FROM concert WHERE year IN (2014, 2015)",0,1,0,1,1,1
Show the stadium name and the number of concerts in each stadium.,medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT s.name AS stadium_name, COUNT(c.concert_id) AS concert_count FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id","SELECT s.name AS stadium_name, COUNT(c.concert_id) AS concert_count FROM stadium AS s LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id",0,0,0,0,0,0
"For each stadium, how many concerts play there?",medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium.stadium_id, COUNT(concert.concert_id) AS concert_count FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.stadium_id","SELECT s.stadium_id, s.name, COUNT(c.concert_id) AS concert_count FROM stadium AS s LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id, s.name",0,0,0,0,0,0
Show the stadium name and capacity with most number of concerts in year 2014 or after.,extra,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT s.name AS stadium_name, s.capacity FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id WHERE c.year >= 2014 GROUP BY s.stadium_id ORDER BY COUNT(c.concert_id) DESC LIMIT 1","SELECT s.name AS stadium_name, s.capacity FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id WHERE c.year >= 2014 GROUP BY s.stadium_id ORDER BY COUNT(c.concert_id) DESC LIMIT 1",0,1,0,1,1,1
What is the name and capacity of the stadium with the most concerts after 2013 ?,extra,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT s.name, s.capacity FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id WHERE c.year > 2013 GROUP BY s.stadium_id ORDER BY COUNT(c.concert_id) DESC LIMIT 1","SELECT s.name, s.capacity FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year > 2013 GROUP BY s.stadium_id ORDER BY COUNT(c.concert_id) DESC LIMIT 1",0,1,0,1,1,1
Which year has most number of concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT year, COUNT(concert_id) AS concert_count FROM concert GROUP BY year ORDER BY concert_count DESC LIMIT 1","SELECT year, COUNT(concert_id) AS concert_count FROM concert GROUP BY year ORDER BY concert_count DESC LIMIT 1",0,0,0,0,0,0
What is the year that had the most concerts?,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT year, COUNT(concert_id) AS concert_count FROM concert GROUP BY year ORDER BY concert_count DESC LIMIT 1","SELECT year, COUNT(concert_id) AS concert_count FROM concert GROUP BY year ORDER BY concert_count DESC LIMIT 1",0,0,0,0,0,0
Show the stadium names without any concert.,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.concert_id IS NULL,1,1,0,1,1,1
What are the names of the stadiums without any concerts?,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),1,1,1,1,1,1
Show countries where a singer above age 40 and a singer below 30 are from.,hard,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT DISTINCT s1.country FROM singer s1 JOIN singer s2 ON s1.country = s2.country WHERE s1.age > 40 AND s2.age < 30,SELECT DISTINCT s1.country FROM singer s1 JOIN singer s2 ON s1.country = s2.country WHERE s1.age > 40 AND s2.age < 30,0,1,0,1,1,1
Show names for all stadiums except for stadiums having a concert in year 2014.,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 ),SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 ),0,1,0,1,1,1
What are the names of all stadiums that did not have a concert in 2014?,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 ),SELECT name FROM stadium WHERE stadium_id NOT IN (     SELECT stadium_id     FROM concert     WHERE year = 2014 ),0,1,0,1,1,1
Show the name and theme for all concerts and the number of singers in each concert.,medium,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT c.concert_name, c.theme, COUNT(sc.singer_id) AS num_singers FROM concert c LEFT JOIN singer_in_concert sc ON c.concert_id = sc.concert_id GROUP BY c.concert_id","SELECT c.concert_name, c.theme, COUNT(sc.singer_id) AS singer_count FROM concert c JOIN singer_in_concert sc ON c.concert_id = sc.concert_id GROUP BY c.concert_id",0,1,0,1,1,1
"What are the names , themes , and number of singers for every concert ?",medium,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT c.concert_name, c.theme, COUNT(sc.singer_id) AS num_singers FROM concert c JOIN singer_in_concert sc ON c.concert_id = sc.concert_id GROUP BY c.concert_id","SELECT c.concert_name, c.theme, COUNT(sc.singer_id) AS num_singers FROM concert c JOIN singer_in_concert sc ON c.concert_id = sc.concert_id GROUP BY c.concert_id",0,1,0,1,1,1
List singer names and number of concerts for each singer.,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.name, COUNT(sc.concert_id) AS concert_count FROM singer s LEFT JOIN singer_in_concert sc ON s.singer_id = sc.singer_id GROUP BY s.singer_id, s.name","SELECT s.name, COUNT(sc.concert_id) AS concert_count FROM singer s LEFT JOIN singer_in_concert sc ON s.singer_id = sc.singer_id GROUP BY s.singer_id, s.name",0,0,0,0,0,0
What are the names of the singers and number of concerts for each person?,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.name, COUNT(sc.concert_id) AS concert_count FROM singer s LEFT JOIN singer_in_concert sc ON s.singer_id = sc.singer_id GROUP BY s.name","SELECT s.name, COUNT(sc.concert_id) AS concert_count FROM singer s LEFT JOIN singer_in_concert sc ON s.singer_id = sc.singer_id GROUP BY s.singer_id, s.name",0,0,0,0,0,0
List all singer names in concerts in year 2014.,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014,SELECT s.name FROM singer s JOIN singer_in_concert sc ON s.singer_id = sc.singer_id JOIN concert c ON sc.concert_id = c.concert_id WHERE c.year = 2014,1,1,0,1,1,1
What are the names of the singers who performed in a concert in 2014?,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014,SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014,1,1,1,1,1,1
what is the name and nation of the singer who have a song having 'Hey' in its name?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT singer.name, singer.country FROM singer WHERE singer.song_name LIKE '%Hey%'","SELECT name, country FROM singer WHERE song_name LIKE '%Hey%'",1,1,1,1,1,1
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT name, country FROM singer WHERE song_name LIKE '%Hey%'","SELECT name, country FROM singer WHERE song_name LIKE '%Hey%'",1,1,1,1,1,1
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT s.name, s.location FROM stadium AS s WHERE EXISTS (     SELECT 1     FROM concert AS c     WHERE c.stadium_id = s.stadium_id     AND c.year IN (2014, 2015)     GROUP BY c.stadium_id     HAVING COUNT(DISTINCT c.year) = 2 )","SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2",0,1,0,1,1,1
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2","SELECT s.name, s.location FROM stadium s JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.year IN (2014, 2015) GROUP BY s.stadium_id HAVING COUNT(DISTINCT c.year) = 2",0,1,0,1,1,1
Find the number of concerts happened in the stadium with the highest capacity .,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concert WHERE stadium_id = (SELECT stadium_id FROM stadium ORDER BY capacity DESC LIMIT 1),SELECT COUNT(*) FROM concert WHERE stadium_id = (SELECT stadium_id FROM stadium ORDER BY capacity DESC LIMIT 1),1,1,1,1,1,1
What are the number of concerts that occurred in the stadium with the largest capacity ?,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concert WHERE stadium_id = (     SELECT stadium_id     FROM stadium     ORDER BY capacity DESC     LIMIT 1 ),SELECT COUNT(concert_id) FROM concert WHERE stadium_id = (SELECT stadium_id FROM stadium ORDER BY capacity DESC LIMIT 1),1,1,0,1,1,1
