Question,Db_Id,hardness,Gold,Repeated,Without Description,With Description,EM Without,EX Without,EM With,EX With,Without - Most Frequent Query,With - Most Frequent Query,Consistency-EM-Without,Consistency-EX-Without,Consistency-EM-With,Consistency-EX-With
How many concerts occurred in 2014 or 2015?,concert_singer,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,7,"SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)","SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)",0,1,0,1,"SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)","SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)",0,1,0,1
How many concerts are there in year 2014 or 2015?,concert_singer,medium,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,7,"SELECT COUNT(*)  FROM concert  WHERE year IN (2014, 2015)
SELECT COUNT(*)  FROM concert  WHERE year IN (2014, 2015)
SELECT COUNT(*)  FROM concert  WHERE year IN (2014, 2015)
SELECT COUNT(*)  FROM concert  WHERE year IN (2014, 2015)
SELECT COUNT(*)  FROM concert  WHERE year IN (2014, 2015)
SELECT COUNT(*)  FROM concert  WHERE year IN (2014, 2015)
SELECT COUNT(*)  FROM concert  WHERE year IN (2014, 2015)","SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)
SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)",0,1,0,1,"SELECT COUNT(*)  FROM concert  WHERE year IN (2014, 2015)","SELECT COUNT(*) FROM concert WHERE year IN (2014, 2015)",0,1,0,1
What are  the different countries with singers above age 20?,concert_singer,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,7,"SELECT DISTINCT s.country  FROM singer AS s  WHERE s.age > 20
SELECT DISTINCT s.country  FROM singer AS s  WHERE s.age > 20
SELECT DISTINCT s.country  FROM singer AS s  WHERE s.age > 20
SELECT DISTINCT s.country  FROM singer AS s  WHERE s.age > 20
SELECT DISTINCT s.country  FROM singer AS s  WHERE s.age > 20
SELECT DISTINCT s.country  FROM singer AS s  WHERE s.age > 20
SELECT DISTINCT s.country  FROM singer AS s  WHERE s.age > 20","SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20",1,1,1,1,SELECT DISTINCT s.country  FROM singer AS s  WHERE s.age > 20,SELECT DISTINCT country  FROM singer  WHERE age > 20,1,1,1,1
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,concert_singer,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",7,"SELECT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2","SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015)
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015)
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015)
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015)
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015)
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015)
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015)",0,1,0,0,"SELECT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2","SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015)",0,1,0,0
Show countries where a singer above age 40 and a singer below 30 are from.,concert_singer,hard,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,7,"SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2 ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2 ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2 ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2 ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2 ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2 ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2 ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30","SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2  ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2  ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2  ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2  ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2  ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2  ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30
SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2  ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30",0,1,0,1,SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2 ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30,SELECT DISTINCT s1.country  FROM singer AS s1  JOIN singer AS s2  ON s1.country = s2.country  WHERE s1.age > 40 AND s2.age < 30,0,1,0,1
What are all distinct countries where singers above age 20 are from?,concert_singer,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,7,"SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20","SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20
SELECT DISTINCT country  FROM singer  WHERE age > 20",1,1,1,1,SELECT DISTINCT country  FROM singer  WHERE age > 20,SELECT DISTINCT country  FROM singer  WHERE age > 20,1,1,1,1
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,concert_singer,extra,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",7,"SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015) GROUP BY stadium.stadium_id  HAVING COUNT(DISTINCT concert.year) = 2
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015) GROUP BY stadium.stadium_id  HAVING COUNT(DISTINCT concert.year) = 2
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015) GROUP BY stadium.stadium_id  HAVING COUNT(DISTINCT concert.year) = 2
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015) GROUP BY stadium.stadium_id  HAVING COUNT(DISTINCT concert.year) = 2
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015) GROUP BY stadium.stadium_id  HAVING COUNT(DISTINCT concert.year) = 2
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015) GROUP BY stadium.stadium_id  HAVING COUNT(DISTINCT concert.year) = 2
SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015) GROUP BY stadium.stadium_id  HAVING COUNT(DISTINCT concert.year) = 2","SELECT DISTINCT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT DISTINCT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT DISTINCT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT DISTINCT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT DISTINCT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT DISTINCT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2
SELECT DISTINCT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2",0,1,0,1,"SELECT DISTINCT stadium.name, stadium.location  FROM stadium  JOIN concert ON stadium.stadium_id = concert.stadium_id  WHERE concert.year IN (2014, 2015) GROUP BY stadium.stadium_id  HAVING COUNT(DISTINCT concert.year) = 2","SELECT DISTINCT s.name, s.location  FROM stadium AS s  JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year IN (2014, 2015)  GROUP BY s.stadium_id  HAVING COUNT(DISTINCT c.year) = 2",0,1,0,1
"What is the average, minimum, and maximum age of all singers from France?",concert_singer,medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",7,"SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'","SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'
SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'",1,1,1,1,"SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'","SELECT AVG(age), MIN(age), MAX(age)  FROM singer  WHERE country = 'France'",1,1,1,1
List singer names and number of concerts for each singer.,concert_singer,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",7,"SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer as s LEFT JOIN singer_in_concert as sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer as s LEFT JOIN singer_in_concert as sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer as s LEFT JOIN singer_in_concert as sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer as s LEFT JOIN singer_in_concert as sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer as s LEFT JOIN singer_in_concert as sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer as s LEFT JOIN singer_in_concert as sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer as s LEFT JOIN singer_in_concert as sic ON s.singer_id = sic.singer_id GROUP BY s.name","SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.singer_id
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.singer_id
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.singer_id
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.singer_id
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.singer_id
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.singer_id
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.singer_id",0,0,0,1,"SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer as s LEFT JOIN singer_in_concert as sic ON s.singer_id = sic.singer_id GROUP BY s.name","SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.singer_id",0,0,0,1
Which year has most number of concerts?,concert_singer,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,7,"SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1","SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1",0,0,0,0,"SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1","SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1",0,0,0,0
Show the stadium names without any concert.,concert_singer,hard,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),7,"SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)","SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)",1,1,1,1,SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),1,1,1,1
Show all countries and the number of singers in each country.,concert_singer,medium,"SELECT country ,  count(*) FROM singer GROUP BY country",7,"SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country","SELECT country, COUNT(singer_id) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(singer_id) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(singer_id) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(singer_id) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(singer_id) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(singer_id) as num_singers FROM singer GROUP BY country
SELECT country, COUNT(singer_id) as num_singers FROM singer GROUP BY country",0,1,0,1,"SELECT country, COUNT(*) as num_singers FROM singer GROUP BY country","SELECT country, COUNT(singer_id) as num_singers FROM singer GROUP BY country",0,1,0,1
