Question,Db_Id,hardness,Gold,Repeated,Without Description,With Description,EM Without,EX Without,EM With,EX With,Without - Most Frequent Query,With - Most Frequent Query,Consistency-EM-Without,Consistency-EX-Without,Consistency-EM-With,Consistency-EX-With
List all singer names in concerts in year 2014.,concert_singer,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,7,"SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014","SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014",1,1,1,1,SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014,SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014,1,1,1,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",concert_singer,medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",7,"SELECT singer.name, singer.country, singer.age  FROM singer  ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age  FROM singer  ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age  FROM singer  ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age  FROM singer  ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age  FROM singer  ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age  FROM singer  ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age  FROM singer  ORDER BY singer.age DESC","SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC
SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1,"SELECT singer.name, singer.country, singer.age  FROM singer  ORDER BY singer.age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1,1,1
Show names for all stadiums except for stadiums having a concert in year 2014.,concert_singer,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,7,"SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL","SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL",0,0,0,0,SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL,SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL,0,0,0,0
What are the names of the singers who performed in a concert in 2014?,concert_singer,hard,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,7,"SELECT singer.name  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE concert.year = 2014
SELECT singer.name  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE concert.year = 2014
SELECT singer.name  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE concert.year = 2014
SELECT singer.name  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE concert.year = 2014
SELECT singer.name  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE concert.year = 2014
SELECT singer.name  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE concert.year = 2014
SELECT singer.name  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE concert.year = 2014","SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014
SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014",1,1,1,1,SELECT singer.name  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE concert.year = 2014,SELECT s.name  FROM singer AS s  JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id  JOIN concert AS c ON sic.concert_id = c.concert_id  WHERE c.year = 2014,1,1,1,1
What are the names of all stadiums that did not have a concert in 2014?,concert_singer,hard,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,7,"SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL
SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL","SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)
SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014)",0,0,0,1,SELECT s.name  FROM stadium AS s  LEFT JOIN concert AS c ON s.stadium_id = c.stadium_id  WHERE c.year != 2014 OR c.year IS NULL,SELECT name  FROM stadium  WHERE stadium_id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),0,0,0,1
Show the name and theme for all concerts and the number of singers in each concert.,concert_singer,medium,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",7,"SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert as c LEFT JOIN singer_in_concert as sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert as c LEFT JOIN singer_in_concert as sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert as c LEFT JOIN singer_in_concert as sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert as c LEFT JOIN singer_in_concert as sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert as c LEFT JOIN singer_in_concert as sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert as c LEFT JOIN singer_in_concert as sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert as c LEFT JOIN singer_in_concert as sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id","SELECT c.concert_name, c.theme, COUNT(sic.singer_id) AS num_singers FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) AS num_singers FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) AS num_singers FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) AS num_singers FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) AS num_singers FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) AS num_singers FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id
SELECT c.concert_name, c.theme, COUNT(sic.singer_id) AS num_singers FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id",0,1,0,1,"SELECT c.concert_name, c.theme, COUNT(sic.singer_id) as num_singers FROM concert as c LEFT JOIN singer_in_concert as sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id","SELECT c.concert_name, c.theme, COUNT(sic.singer_id) AS num_singers FROM concert AS c JOIN singer_in_concert AS sic ON c.concert_id = sic.concert_id GROUP BY c.concert_id",0,1,0,1
List all song names by singers above the average age.,concert_singer,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),7,"SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)","SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)",1,1,1,1,SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s),SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2),1,1,1,1
What is the total number of singers?,concert_singer,easy,SELECT count(*) FROM singer,7,"SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer","SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer
SELECT COUNT(*) FROM singer",1,1,1,1,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1,1,1
what is the name and nation of the singer who have a song having 'Hey' in its name?,concert_singer,medium,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",7,"SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'","SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'
SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'",0,1,0,1,"SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'","SELECT singer.name, singer.country  FROM singer  JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id  JOIN concert ON singer_in_concert.concert_id = concert.concert_id  WHERE singer.song_name LIKE '%Hey%'",0,1,0,1
What are the names of the singers and number of concerts for each person?,concert_singer,medium,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",7,"SELECT s.name AS singer_name, COUNT(sic.concert_id) AS number_of_concerts FROM singer AS s LEFT JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name AS singer_name, COUNT(sic.concert_id) AS number_of_concerts FROM singer AS s LEFT JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name AS singer_name, COUNT(sic.concert_id) AS number_of_concerts FROM singer AS s LEFT JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name AS singer_name, COUNT(sic.concert_id) AS number_of_concerts FROM singer AS s LEFT JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name AS singer_name, COUNT(sic.concert_id) AS number_of_concerts FROM singer AS s LEFT JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name AS singer_name, COUNT(sic.concert_id) AS number_of_concerts FROM singer AS s LEFT JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name AS singer_name, COUNT(sic.concert_id) AS number_of_concerts FROM singer AS s LEFT JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id GROUP BY s.name","SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.name
SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.name",0,0,0,1,"SELECT s.name AS singer_name, COUNT(sic.concert_id) AS number_of_concerts FROM singer AS s LEFT JOIN singer_in_concert AS sic ON s.singer_id = sic.singer_id GROUP BY s.name","SELECT s.name, COUNT(sic.concert_id) as num_of_concerts FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.name",0,0,0,1
