Question,Db_Id,hardness,Gold,Repeated,Without Description,With Description,EM Without,EX Without,EM With,EX With,Without - Most Frequent Query,With - Most Frequent Query,Consistency-EM-Without,Consistency-EX-Without,Consistency-EM-With,Consistency-EX-With
What is the average and maximum capacities for all stadiums ?,concert_singer,medium,"select avg(capacity) ,  max(capacity) from stadium",7,"SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium","SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium
SELECT AVG(capacity), MAX(capacity) FROM stadium",1,1,1,1,"SELECT AVG(capacity), MAX(capacity) FROM stadium","SELECT AVG(capacity), MAX(capacity) FROM stadium",1,1,1,1
What is the name and capacity for the stadium with highest average attendance?,concert_singer,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",7,"SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1","SELECT name, capacity  FROM stadium  WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity  FROM stadium  WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity  FROM stadium  WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity  FROM stadium  WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity  FROM stadium  WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity  FROM stadium  WHERE average = (SELECT MAX(average) FROM stadium)
SELECT name, capacity  FROM stadium  WHERE average = (SELECT MAX(average) FROM stadium)",1,1,0,1,"SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1","SELECT name, capacity  FROM stadium  WHERE average = (SELECT MAX(average) FROM stadium)",1,1,0,1
Show location and name for all stadiums with a capacity between 5000 and 10000.,concert_singer,medium,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",7,"SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000
SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000",1,1,1,1,"SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name  FROM stadium  WHERE capacity BETWEEN 5000 AND 10000",1,1,1,1
What is the name and capacity of the stadium with the most concerts after 2013 ?,concert_singer,extra,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1",7,"SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id        FROM concert AS c        WHERE c.year > 2013        GROUP BY c.stadium_id        ORDER BY COUNT(*) DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id        FROM concert AS c        WHERE c.year > 2013        GROUP BY c.stadium_id        ORDER BY COUNT(*) DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id        FROM concert AS c        WHERE c.year > 2013        GROUP BY c.stadium_id        ORDER BY COUNT(*) DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id        FROM concert AS c        WHERE c.year > 2013        GROUP BY c.stadium_id        ORDER BY COUNT(*) DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id        FROM concert AS c        WHERE c.year > 2013        GROUP BY c.stadium_id        ORDER BY COUNT(*) DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id        FROM concert AS c        WHERE c.year > 2013        GROUP BY c.stadium_id        ORDER BY COUNT(*) DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id        FROM concert AS c        WHERE c.year > 2013        GROUP BY c.stadium_id        ORDER BY COUNT(*) DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id","SELECT s.name, s.capacity  FROM stadium AS s  JOIN (     SELECT c.stadium_id      FROM concert AS c      WHERE c.year > 2013      GROUP BY c.stadium_id      ORDER BY COUNT(*) DESC      LIMIT 1 ) AS sc  ON s.stadium_id = sc.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (     SELECT c.stadium_id      FROM concert AS c      WHERE c.year > 2013      GROUP BY c.stadium_id      ORDER BY COUNT(*) DESC      LIMIT 1 ) AS sc  ON s.stadium_id = sc.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (     SELECT c.stadium_id      FROM concert AS c      WHERE c.year > 2013      GROUP BY c.stadium_id      ORDER BY COUNT(*) DESC      LIMIT 1 ) AS sc  ON s.stadium_id = sc.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (     SELECT c.stadium_id      FROM concert AS c      WHERE c.year > 2013      GROUP BY c.stadium_id      ORDER BY COUNT(*) DESC      LIMIT 1 ) AS sc  ON s.stadium_id = sc.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (     SELECT c.stadium_id      FROM concert AS c      WHERE c.year > 2013      GROUP BY c.stadium_id      ORDER BY COUNT(*) DESC      LIMIT 1 ) AS sc  ON s.stadium_id = sc.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (     SELECT c.stadium_id      FROM concert AS c      WHERE c.year > 2013      GROUP BY c.stadium_id      ORDER BY COUNT(*) DESC      LIMIT 1 ) AS sc  ON s.stadium_id = sc.stadium_id
SELECT s.name, s.capacity  FROM stadium AS s  JOIN (     SELECT c.stadium_id      FROM concert AS c      WHERE c.year > 2013      GROUP BY c.stadium_id      ORDER BY COUNT(*) DESC      LIMIT 1 ) AS sc  ON s.stadium_id = sc.stadium_id",0,1,0,1,"SELECT s.name, s.capacity  FROM stadium AS s  JOIN (SELECT c.stadium_id        FROM concert AS c        WHERE c.year > 2013        GROUP BY c.stadium_id        ORDER BY COUNT(*) DESC        LIMIT 1) AS subquery  ON s.stadium_id = subquery.stadium_id","SELECT s.name, s.capacity  FROM stadium AS s  JOIN (     SELECT c.stadium_id      FROM concert AS c      WHERE c.year > 2013      GROUP BY c.stadium_id      ORDER BY COUNT(*) DESC      LIMIT 1 ) AS sc  ON s.stadium_id = sc.stadium_id",0,1,0,1
What are all the song names by singers who are older than average?,concert_singer,hard,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),7,"SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s)","SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)
SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2)",1,1,1,1,SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s.age) FROM singer AS s),SELECT s.song_name  FROM singer AS s  WHERE s.age > (SELECT AVG(s2.age) FROM singer AS s2),1,1,1,1
What is the year that had the most concerts?,concert_singer,hard,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,7,"SELECT year, COUNT(*) as num_concerts  FROM concert  GROUP BY year  ORDER BY num_concerts DESC  LIMIT 1
SELECT year, COUNT(*) as num_concerts  FROM concert  GROUP BY year  ORDER BY num_concerts DESC  LIMIT 1
SELECT year, COUNT(*) as num_concerts  FROM concert  GROUP BY year  ORDER BY num_concerts DESC  LIMIT 1
SELECT year, COUNT(*) as num_concerts  FROM concert  GROUP BY year  ORDER BY num_concerts DESC  LIMIT 1
SELECT year, COUNT(*) as num_concerts  FROM concert  GROUP BY year  ORDER BY num_concerts DESC  LIMIT 1
SELECT year, COUNT(*) as num_concerts  FROM concert  GROUP BY year  ORDER BY num_concerts DESC  LIMIT 1
SELECT year, COUNT(*) as num_concerts  FROM concert  GROUP BY year  ORDER BY num_concerts DESC  LIMIT 1","SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1
SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1",0,0,0,0,"SELECT year, COUNT(*) as num_concerts  FROM concert  GROUP BY year  ORDER BY num_concerts DESC  LIMIT 1","SELECT year, COUNT(*) as num_concerts FROM concert GROUP BY year ORDER BY num_concerts DESC LIMIT 1",0,0,0,0
What are the names and release years for all the songs of the youngest singer?,concert_singer,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",7,"SELECT s.song_name, s.song_release_year  FROM singer AS s  JOIN singer_in_concert ASsic ON s.singer_id =  sic.singer_id  WHERE s.age = (SELECT MIN(age) FROM singer) 
SELECT s.song_name, s.song_release_year  FROM singer AS s  JOIN singer_in_concert ASsic ON s.singer_id =  sic.singer_id  WHERE s.age = (SELECT MIN(age) FROM singer) 
SELECT s.song_name, s.song_release_year  FROM singer AS s  JOIN singer_in_concert ASsic ON s.singer_id =  sic.singer_id  WHERE s.age = (SELECT MIN(age) FROM singer) 
SELECT s.song_name, s.song_release_year  FROM singer AS s  JOIN singer_in_concert ASsic ON s.singer_id =  sic.singer_id  WHERE s.age = (SELECT MIN(age) FROM singer) 
SELECT s.song_name, s.song_release_year  FROM singer AS s  JOIN singer_in_concert ASsic ON s.singer_id =  sic.singer_id  WHERE s.age = (SELECT MIN(age) FROM singer) 
SELECT s.song_name, s.song_release_year  FROM singer AS s  JOIN singer_in_concert ASsic ON s.singer_id =  sic.singer_id  WHERE s.age = (SELECT MIN(age) FROM singer) 
SELECT s.song_name, s.song_release_year  FROM singer AS s  JOIN singer_in_concert ASsic ON s.singer_id =  sic.singer_id  WHERE s.age = (SELECT MIN(age) FROM singer) ","SELECT s.name, s.song_release_year FROM singer AS s WHERE s.age = (SELECT MIN(s2.age) FROM singer AS s2) 
SELECT s.name, s.song_release_year FROM singer AS s WHERE s.age = (SELECT MIN(s2.age) FROM singer AS s2) 
SELECT s.name, s.song_release_year FROM singer AS s WHERE s.age = (SELECT MIN(s2.age) FROM singer AS s2) 
SELECT s.name, s.song_release_year FROM singer AS s WHERE s.age = (SELECT MIN(s2.age) FROM singer AS s2) 
SELECT s.name, s.song_release_year FROM singer AS s WHERE s.age = (SELECT MIN(s2.age) FROM singer AS s2) 
SELECT s.name, s.song_release_year FROM singer AS s WHERE s.age = (SELECT MIN(s2.age) FROM singer AS s2) 
SELECT s.name, s.song_release_year FROM singer AS s WHERE s.age = (SELECT MIN(s2.age) FROM singer AS s2) ",0,0,0,0,"SELECT s.song_name, s.song_release_year  FROM singer AS s  JOIN singer_in_concert ASsic ON s.singer_id =  sic.singer_id  WHERE s.age = (SELECT MIN(age) FROM singer) ","SELECT s.name, s.song_release_year FROM singer AS s WHERE s.age = (SELECT MIN(s2.age) FROM singer AS s2) ",0,0,0,0
Find the number of concerts happened in the stadium with the highest capacity .,concert_singer,hard,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),7,"SELECT COUNT(*)  FROM concert  WHERE stadium_id IN (SELECT stadium_id FROM stadium WHERE capacity = (SELECT MAX(capacity) FROM stadium))
SELECT COUNT(*)  FROM concert  WHERE stadium_id IN (SELECT stadium_id FROM stadium WHERE capacity = (SELECT MAX(capacity) FROM stadium))
SELECT COUNT(*)  FROM concert  WHERE stadium_id IN (SELECT stadium_id FROM stadium WHERE capacity = (SELECT MAX(capacity) FROM stadium))
SELECT COUNT(*)  FROM concert  WHERE stadium_id IN (SELECT stadium_id FROM stadium WHERE capacity = (SELECT MAX(capacity) FROM stadium))
SELECT COUNT(*)  FROM concert  WHERE stadium_id IN (SELECT stadium_id FROM stadium WHERE capacity = (SELECT MAX(capacity) FROM stadium))
SELECT COUNT(*)  FROM concert  WHERE stadium_id IN (SELECT stadium_id FROM stadium WHERE capacity = (SELECT MAX(capacity) FROM stadium))
SELECT COUNT(*)  FROM concert  WHERE stadium_id IN (SELECT stadium_id FROM stadium WHERE capacity = (SELECT MAX(capacity) FROM stadium))","SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)
SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1)",0,1,1,1,SELECT COUNT(*)  FROM concert  WHERE stadium_id IN (SELECT stadium_id FROM stadium WHERE capacity = (SELECT MAX(capacity) FROM stadium)),SELECT COUNT(*)  FROM concert  WHERE stadium_id =      (SELECT stadium_id       FROM stadium       ORDER BY capacity DESC       LIMIT 1),0,1,1,1
What is the name and capacity for the stadium with the highest average attendance?,concert_singer,medium,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",7,"SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1","SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1
SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1",1,1,1,1,"SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1","SELECT name, capacity  FROM stadium  ORDER BY average DESC  LIMIT 1",1,1,1,1
Show the name and the release year of the song by the youngest singer.,concert_singer,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",7,"SELECT s.name, s.song_release_year  FROM singer AS s  JOIN (SELECT singer_id, MIN(age) AS youngest_age        FROM singer        GROUP BY singer_id) AS y  ON s.singer_id = y.singer_id  AND s.age = y.youngest_age
SELECT s.name, s.song_release_year  FROM singer AS s  JOIN (SELECT singer_id, MIN(age) AS youngest_age        FROM singer        GROUP BY singer_id) AS y  ON s.singer_id = y.singer_id  AND s.age = y.youngest_age
SELECT s.name, s.song_release_year  FROM singer AS s  JOIN (SELECT singer_id, MIN(age) AS youngest_age        FROM singer        GROUP BY singer_id) AS y  ON s.singer_id = y.singer_id  AND s.age = y.youngest_age
SELECT s.name, s.song_release_year  FROM singer AS s  JOIN (SELECT singer_id, MIN(age) AS youngest_age        FROM singer        GROUP BY singer_id) AS y  ON s.singer_id = y.singer_id  AND s.age = y.youngest_age
SELECT s.name, s.song_release_year  FROM singer AS s  JOIN (SELECT singer_id, MIN(age) AS youngest_age        FROM singer        GROUP BY singer_id) AS y  ON s.singer_id = y.singer_id  AND s.age = y.youngest_age
SELECT s.name, s.song_release_year  FROM singer AS s  JOIN (SELECT singer_id, MIN(age) AS youngest_age        FROM singer        GROUP BY singer_id) AS y  ON s.singer_id = y.singer_id  AND s.age = y.youngest_age
SELECT s.name, s.song_release_year  FROM singer AS s  JOIN (SELECT singer_id, MIN(age) AS youngest_age        FROM singer        GROUP BY singer_id) AS y  ON s.singer_id = y.singer_id  AND s.age = y.youngest_age","SELECT s.name, s.song_release_year FROM singer AS s INNER JOIN (     SELECT Singer_ID     FROM singer     ORDER BY age ASC     LIMIT 1 ) AS y ON s.singer_id = y.singer_id
SELECT s.name, s.song_release_year FROM singer AS s INNER JOIN (     SELECT Singer_ID     FROM singer     ORDER BY age ASC     LIMIT 1 ) AS y ON s.singer_id = y.singer_id
SELECT s.name, s.song_release_year FROM singer AS s INNER JOIN (     SELECT Singer_ID     FROM singer     ORDER BY age ASC     LIMIT 1 ) AS y ON s.singer_id = y.singer_id
SELECT s.name, s.song_release_year FROM singer AS s INNER JOIN (     SELECT Singer_ID     FROM singer     ORDER BY age ASC     LIMIT 1 ) AS y ON s.singer_id = y.singer_id
SELECT s.name, s.song_release_year FROM singer AS s INNER JOIN (     SELECT Singer_ID     FROM singer     ORDER BY age ASC     LIMIT 1 ) AS y ON s.singer_id = y.singer_id
SELECT s.name, s.song_release_year FROM singer AS s INNER JOIN (     SELECT Singer_ID     FROM singer     ORDER BY age ASC     LIMIT 1 ) AS y ON s.singer_id = y.singer_id
SELECT s.name, s.song_release_year FROM singer AS s INNER JOIN (     SELECT Singer_ID     FROM singer     ORDER BY age ASC     LIMIT 1 ) AS y ON s.singer_id = y.singer_id",0,0,0,0,"SELECT s.name, s.song_release_year  FROM singer AS s  JOIN (SELECT singer_id, MIN(age) AS youngest_age        FROM singer        GROUP BY singer_id) AS y  ON s.singer_id = y.singer_id  AND s.age = y.youngest_age","SELECT s.name, s.song_release_year FROM singer AS s INNER JOIN (     SELECT Singer_ID     FROM singer     ORDER BY age ASC     LIMIT 1 ) AS y ON s.singer_id = y.singer_id",0,0,0,0
What is the maximum capacity and the average of all stadiums ?,concert_singer,medium,"select max(capacity), average from stadium",7,"SELECT MAX(capacity), AVG(capacity)  FROM stadium
SELECT MAX(capacity), AVG(capacity)  FROM stadium
SELECT MAX(capacity), AVG(capacity)  FROM stadium
SELECT MAX(capacity), AVG(capacity)  FROM stadium
SELECT MAX(capacity), AVG(capacity)  FROM stadium
SELECT MAX(capacity), AVG(capacity)  FROM stadium
SELECT MAX(capacity), AVG(capacity)  FROM stadium","SELECT MAX(capacity), AVG(average) FROM stadium
SELECT MAX(capacity), AVG(average) FROM stadium
SELECT MAX(capacity), AVG(average) FROM stadium
SELECT MAX(capacity), AVG(average) FROM stadium
SELECT MAX(capacity), AVG(average) FROM stadium
SELECT MAX(capacity), AVG(average) FROM stadium
SELECT MAX(capacity), AVG(average) FROM stadium",0,0,0,0,"SELECT MAX(capacity), AVG(capacity)  FROM stadium","SELECT MAX(capacity), AVG(average) FROM stadium",0,0,0,0
"What are the names, countries, and ages for every singer in descending order of age?",concert_singer,medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",7,"SELECT singer.name, singer.country, singer.age FROM singer ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age FROM singer ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age FROM singer ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age FROM singer ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age FROM singer ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age FROM singer ORDER BY singer.age DESC
SELECT singer.name, singer.country, singer.age FROM singer ORDER BY singer.age DESC","SELECT name, country, age  FROM singer  ORDER BY age DESC
SELECT name, country, age  FROM singer  ORDER BY age DESC
SELECT name, country, age  FROM singer  ORDER BY age DESC
SELECT name, country, age  FROM singer  ORDER BY age DESC
SELECT name, country, age  FROM singer  ORDER BY age DESC
SELECT name, country, age  FROM singer  ORDER BY age DESC
SELECT name, country, age  FROM singer  ORDER BY age DESC",1,1,1,1,"SELECT singer.name, singer.country, singer.age FROM singer ORDER BY singer.age DESC","SELECT name, country, age  FROM singer  ORDER BY age DESC",1,1,1,1
Show the stadium name and the number of concerts in each stadium.,concert_singer,medium,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",7,"SELECT s.name, COUNT(c.concert_id) as num_of_concerts  FROM stadium s  JOIN concert c ON s.stadium_id = c.stadium_id  GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts  FROM stadium s  JOIN concert c ON s.stadium_id = c.stadium_id  GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts  FROM stadium s  JOIN concert c ON s.stadium_id = c.stadium_id  GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts  FROM stadium s  JOIN concert c ON s.stadium_id = c.stadium_id  GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts  FROM stadium s  JOIN concert c ON s.stadium_id = c.stadium_id  GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts  FROM stadium s  JOIN concert c ON s.stadium_id = c.stadium_id  GROUP BY s.name
SELECT s.name, COUNT(c.concert_id) as num_of_concerts  FROM stadium s  JOIN concert c ON s.stadium_id = c.stadium_id  GROUP BY s.name","SELECT s.name AS stadium_name, COUNT(c.concert_id) AS num_of_concerts FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id
SELECT s.name AS stadium_name, COUNT(c.concert_id) AS num_of_concerts FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id
SELECT s.name AS stadium_name, COUNT(c.concert_id) AS num_of_concerts FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id
SELECT s.name AS stadium_name, COUNT(c.concert_id) AS num_of_concerts FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id
SELECT s.name AS stadium_name, COUNT(c.concert_id) AS num_of_concerts FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id
SELECT s.name AS stadium_name, COUNT(c.concert_id) AS num_of_concerts FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id
SELECT s.name AS stadium_name, COUNT(c.concert_id) AS num_of_concerts FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id",0,1,0,1,"SELECT s.name, COUNT(c.concert_id) as num_of_concerts  FROM stadium s  JOIN concert c ON s.stadium_id = c.stadium_id  GROUP BY s.name","SELECT s.name AS stadium_name, COUNT(c.concert_id) AS num_of_concerts FROM stadium AS s JOIN concert AS c ON s.stadium_id = c.stadium_id GROUP BY s.stadium_id",0,1,0,1
